frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet
26.0,0,314,0,1,0,1,0,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0032700000010663
26.0,0,314,0,1,0,1,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0056900000017776
231.0,3,44,0,1,0,1,0,641,2048,20,197,639,0,255,17,1,2,0,0,0,0,0,0,0,8889,8890,177,43,169,2,8,0.0362999999997555
62.0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0
239.0,2,320,1,2,1,2,0,927,2048,20,205,915,0,255,17,1,2,0,0,0,0,0,0,0,8889,8890,185,348,177,2,8,0.0048999999999068
26.0,0,314,1,0,1,0,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0016099999993457
231.0,3,44,0,1,0,1,0,630,2048,20,197,621,0,255,17,1,2,0,0,0,0,0,0,0,8889,8890,177,52,169,2,8,0.0619100000003527
26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0201000000015483
26.0,0,314,1,0,1,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0028200000015203
26.0,0,314,2,0,2,0,0,3631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0042200000025331
62.0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0
26.0,0,314,0,1,0,1,0,3548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0136100000017904
298.0,0,44,1,0,0,1,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,2,8,0.0
298.0,0,44,1,0,0,1,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,2,8,0.0
86.0,1,44,1,0,1,0,0,309,2048,20,52,45200,64,128,6,2,3,52982,53,3550897096,32,2,64240,1,0,0,0,0,0,2,8,3.369169999998121
26.0,0,314,1,0,1,0,0,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0006200000025273
26.0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.1009999999987485
26.0,0,314,0,1,0,1,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000609999999142
26.0,0,314,0,1,0,1,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0032700000010663
60.0,0,44,8,2,8,2,0,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0
26.0,0,314,1,0,1,0,0,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0022300000018731
26.0,0,314,1,0,1,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0032299999984388
